   X,    Y,    Latitude,   Longitude, HLCY_200612200300
   1,    1,   12.190000, -133.459000,          469
   2,    1,   12.289392, -133.108465,          469
   3,    1,   12.387933, -132.757405,          449
   4,    1,   12.485621, -132.405825,          429
   5,    1,   12.582452, -132.053728,          409
   6,    1,   12.678424, -131.701118,          389
   7,    1,   12.773532, -131.347998,          369
   8,    1,   12.867775, -130.994371,          349
   9,    1,   12.961149, -130.640243,          309
  10,    1,   13.053651, -130.285616,          349
  11,    1,   13.145277, -129.930494,          409
  12,    1,   13.236026, -129.574881,          389
  13,    1,   13.325894, -129.218781,          389
  14,    1,   13.414878, -128.862198,          369
  15,    1,   13.502975, -128.505136,          369
  16,    1,   13.590183, -128.147599,          369
  17,    1,   13.676498, -127.789590,          369
  18,    1,   13.761918, -127.431115,          369
  19,    1,   13.846441, -127.072176,          389
  20,    1,   13.930063, -126.712779,          409
  21,    1,   14.012781, -126.352927,          429
  22,    1,   14.094594, -125.992625,          409
  23,    1,   14.175498, -125.631877,          369
  24,    1,   14.255491, -125.270687,          329
  25,    1,   14.334570, -124.909059,          309
  26,    1,   14.412733, -124.546998,          289
  27,    1,   14.489977, -124.184509,          269
  28,    1,   14.566300, -123.821595,          269
  29,    1,   14.641700, -123.458261,          229
  30,    1,   14.716174, -123.094512,          189
  31,    1,   14.789719, -122.730352,          169
  32,    1,   14.862333, -122.365786,          149
  33,    1,   14.934015, -122.000818,          149
  34,    1,   15.004761, -121.635453,          129
  35,    1,   15.074570, -121.269695,          109
  36,    1,   15.143440, -120.903550,          109
  37,    1,   15.211367, -120.537022,           89
  38,    1,   15.278350, -120.170116,           69
  39,    1,   15.344387, -119.802836,           49
  40,    1,   15.409476, -119.435188,           49
  41,    1,   15.473615, -119.067177,           69
  42,    1,   15.536802, -118.698806,           89
  43,    1,   15.599034, -118.330082,          129
  44,    1,   15.660310, -117.961008,          149
  45,    1,   15.720628, -117.591591,          169
  46,    1,   15.779986, -117.221835,          189
  47,    1,   15.838382, -116.851744,          209
  48,    1,   15.895815, -116.481326,          209
  49,    1,   15.952282, -116.110583,          209
  50,    1,   16.007781, -115.739522,          189
  51,    1,   16.062312, -115.368147,          169
  52,    1,   16.115872, -114.996464,          149
  53,    1,   16.168460, -114.624478,          129
  54,    1,   16.220074, -114.252194,          109
  55,    1,   16.270712, -113.879618,          109
