   X,    Y,    Latitude,   Longitude, HLCY_200612200600
   1,    1,   12.190000, -133.459000,           99
   2,    1,   12.289392, -133.108465,          111
   3,    1,   12.387933, -132.757405,          115
   4,    1,   12.485621, -132.405825,          105
   5,    1,   12.582452, -132.053728,           65
   6,    1,   12.678424, -131.701118,           41
   7,    1,   12.773532, -131.347998,           97
   8,    1,   12.867775, -130.994371,          115
   9,    1,   12.961149, -130.640243,          115
  10,    1,   13.053651, -130.285616,          119
  11,    1,   13.145277, -129.930494,          121
  12,    1,   13.236026, -129.574881,          115
  13,    1,   13.325894, -129.218781,          111
  14,    1,   13.414878, -128.862198,          109
  15,    1,   13.502975, -128.505136,          109
  16,    1,   13.590183, -128.147599,          107
  17,    1,   13.676498, -127.789590,           87
  18,    1,   13.761918, -127.431115,           63
  19,    1,   13.846441, -127.072176,           47
  20,    1,   13.930063, -126.712779,           43
  21,    1,   14.012781, -126.352927,           43
  22,    1,   14.094594, -125.992625,           43
  23,    1,   14.175498, -125.631877,           39
  24,    1,   14.255491, -125.270687,           39
  25,    1,   14.334570, -124.909059,           41
  26,    1,   14.412733, -124.546998,           43
  27,    1,   14.489977, -124.184509,           35
  28,    1,   14.566300, -123.821595,           37
  29,    1,   14.641700, -123.458261,           47
  30,    1,   14.716174, -123.094512,           59
  31,    1,   14.789719, -122.730352,           69
  32,    1,   14.862333, -122.365786,           75
  33,    1,   14.934015, -122.000818,           75
  34,    1,   15.004761, -121.635453,           69
  35,    1,   15.074570, -121.269695,           49
  36,    1,   15.143440, -120.903550,           37
  37,    1,   15.211367, -120.537022,           35
  38,    1,   15.278350, -120.170116,           39
  39,    1,   15.344387, -119.802836,           51
  40,    1,   15.409476, -119.435188,           57
  41,    1,   15.473615, -119.067177,           65
  42,    1,   15.536802, -118.698806,           73
  43,    1,   15.599034, -118.330082,           75
  44,    1,   15.660310, -117.961008,           71
  45,    1,   15.720628, -117.591591,           69
  46,    1,   15.779986, -117.221835,           73
  47,    1,   15.838382, -116.851744,           75
  48,    1,   15.895815, -116.481326,           75
  49,    1,   15.952282, -116.110583,           69
  50,    1,   16.007781, -115.739522,           63
  51,    1,   16.062312, -115.368147,           59
  52,    1,   16.115872, -114.996464,           55
  53,    1,   16.168460, -114.624478,           47
  54,    1,   16.220074, -114.252194,           57
  55,    1,   16.270712, -113.879618,           39
  56,    1,   16.320373, -113.506754,           23
  57,    1,   16.369056, -113.133609,           19
  58,    1,   16.416758, -112.760187,           13
  59,    1,   16.463479, -112.386494,            5
  60,    1,   16.509216, -112.012534,           -3
  61,    1,   16.553969, -111.638315,            3
  62,    1,   16.597736, -111.263840,            1
  63,    1,   16.640516, -110.889116,           -5
  64,    1,   16.682307, -110.514148,           13
  65,    1,   16.723109, -110.138941,           39
  66,    1,   16.762919, -109.763502,           51
  67,    1,   16.801737, -109.387834,           47
  68,    1,   16.839562, -109.011945,           39
  69,    1,   16.876391, -108.635840,           43
  70,    1,   16.912225, -108.259524,           45
  71,    1,   16.947062, -107.883002,           53
  72,    1,   16.980901, -107.506282,           65
  73,    1,   17.013741, -107.129367,           69
  74,    1,   17.045581, -106.752265,           65
  75,    1,   17.076420, -106.374980,           55
  76,    1,   17.106257, -105.997518,           43
  77,    1,   17.135091, -105.619886,           27
  78,    1,   17.162921, -105.242088,           17
  79,    1,   17.189747, -104.864131,            9
  80,    1,   17.215567, -104.486020,            5
  81,    1,   17.240381, -104.107761,            1
  82,    1,   17.264189, -103.729360,           -1
  83,    1,   17.286988, -103.350823,           -1
  84,    1,   17.308779, -102.972156,           -5
  85,    1,   17.329561, -102.593364,           -5
  86,    1,   17.349333, -102.214453,           -1
  87,    1,   17.368095, -101.835429,            1
  88,    1,   17.385847, -101.456299,           -1
  89,    1,   17.402586, -101.077067,           -5
  90,    1,   17.418314, -100.697740,           -3
  91,    1,   17.433030, -100.318324,           -5
  92,    1,   17.446732,  -99.938824,            1
  93,    1,   17.459422,  -99.559247,           27
  94,    1,   17.471097,  -99.179599,           47
  95,    1,   17.481759,  -98.799885,            1
  96,    1,   17.491407,  -98.420111,          -29
  97,    1,   17.500039,  -98.040284,           -7
  98,    1,   17.507657,  -97.660409,           19
  99,    1,   17.514260,  -97.280492,            5
