   X,    Y,    Latitude,   Longitude, HLCY_200612191800
   1,    1,   12.190000, -133.459000,          145
   2,    1,   12.289392, -133.108465,          139
   3,    1,   12.387933, -132.757405,          131
   4,    1,   12.485621, -132.405825,          125
   5,    1,   12.582452, -132.053728,          113
   6,    1,   12.678424, -131.701118,          117
   7,    1,   12.773532, -131.347998,          115
   8,    1,   12.867775, -130.994371,          109
   9,    1,   12.961149, -130.640243,          111
  10,    1,   13.053651, -130.285616,          115
  11,    1,   13.145277, -129.930494,           99
  12,    1,   13.236026, -129.574881,           85
  13,    1,   13.325894, -129.218781,           81
  14,    1,   13.414878, -128.862198,           73
  15,    1,   13.502975, -128.505136,           69
  16,    1,   13.590183, -128.147599,           43
  17,    1,   13.676498, -127.789590,           37
  18,    1,   13.761918, -127.431115,           29
  19,    1,   13.846441, -127.072176,           19
  20,    1,   13.930063, -126.712779,           -7
  21,    1,   14.012781, -126.352927,          -25
  22,    1,   14.094594, -125.992625,          -33
  23,    1,   14.175498, -125.631877,          -39
  24,    1,   14.255491, -125.270687,          -47
  25,    1,   14.334570, -124.909059,          -63
  26,    1,   14.412733, -124.546998,          -57
  27,    1,   14.489977, -124.184509,          -41
  28,    1,   14.566300, -123.821595,          -31
  29,    1,   14.641700, -123.458261,          -35
  30,    1,   14.716174, -123.094512,          -29
  31,    1,   14.789719, -122.730352,          -27
  32,    1,   14.862333, -122.365786,          -25
  33,    1,   14.934015, -122.000818,          -19
  34,    1,   15.004761, -121.635453,          -17
  35,    1,   15.074570, -121.269695,          -17
  36,    1,   15.143440, -120.903550,           -9
  37,    1,   15.211367, -120.537022,           11
  38,    1,   15.278350, -120.170116,           35
  39,    1,   15.344387, -119.802836,           49
  40,    1,   15.409476, -119.435188,           43
  41,    1,   15.473615, -119.067177,           53
  42,    1,   15.536802, -118.698806,           69
  43,    1,   15.599034, -118.330082,           83
  44,    1,   15.660310, -117.961008,           85
  45,    1,   15.720628, -117.591591,           87
  46,    1,   15.779986, -117.221835,           87
  47,    1,   15.838382, -116.851744,           85
  48,    1,   15.895815, -116.481326,           85
  49,    1,   15.952282, -116.110583,           87
  50,    1,   16.007781, -115.739522,          103
  51,    1,   16.062312, -115.368147,          109
  52,    1,   16.115872, -114.996464,          111
  53,    1,   16.168460, -114.624478,          105
  54,    1,   16.220074, -114.252194,           91
  55,    1,   16.270712, -113.879618,           67
  56,    1,   16.320373, -113.506754,           33
  57,    1,   16.369056, -113.133609,           17
  58,    1,   16.416758, -112.760187,           21
