   X,    Y,    Latitude,   Longitude, TMP_200612191200
   1,    1,   12.190000, -133.459000,           44
   2,    1,   12.289392, -133.108465,           44
   3,    1,   12.387933, -132.757405,           45
   4,    1,   12.485621, -132.405825,           44
   5,    1,   12.582452, -132.053728,           44
   6,    1,   12.678424, -131.701118,           44
   7,    1,   12.773532, -131.347998,           45
   8,    1,   12.867775, -130.994371,           46
   9,    1,   12.961149, -130.640243,           45
  10,    1,   13.053651, -130.285616,           46
  11,    1,   13.145277, -129.930494,           46
  12,    1,   13.236026, -129.574881,           46
  13,    1,   13.325894, -129.218781,           46
  14,    1,   13.414878, -128.862198,           47
  15,    1,   13.502975, -128.505136,           46
  16,    1,   13.590183, -128.147599,           46
  17,    1,   13.676498, -127.789590,           46
  18,    1,   13.761918, -127.431115,           46
  19,    1,   13.846441, -127.072176,           46
  20,    1,   13.930063, -126.712779,           46
  21,    1,   14.012781, -126.352927,           46
  22,    1,   14.094594, -125.992625,           46
  23,    1,   14.175498, -125.631877,           46
  24,    1,   14.255491, -125.270687,           46
  25,    1,   14.334570, -124.909059,           46
  26,    1,   14.412733, -124.546998,           47
  27,    1,   14.489977, -124.184509,           47
  28,    1,   14.566300, -123.821595,           47
  29,    1,   14.641700, -123.458261,           47
  30,    1,   14.716174, -123.094512,           47
  31,    1,   14.789719, -122.730352,           46
  32,    1,   14.862333, -122.365786,           46
  33,    1,   14.934015, -122.000818,           46
  34,    1,   15.004761, -121.635453,           46
  35,    1,   15.074570, -121.269695,           46
  36,    1,   15.143440, -120.903550,           46
  37,    1,   15.211367, -120.537022,           45
  38,    1,   15.278350, -120.170116,           45
  39,    1,   15.344387, -119.802836,           45
  40,    1,   15.409476, -119.435188,           45
  41,    1,   15.473615, -119.067177,           45
  42,    1,   15.536802, -118.698806,           45
  43,    1,   15.599034, -118.330082,           44
  44,    1,   15.660310, -117.961008,           44
  45,    1,   15.720628, -117.591591,           45
  46,    1,   15.779986, -117.221835,           45
  47,    1,   15.838382, -116.851744,           44
  48,    1,   15.895815, -116.481326,           45
  49,    1,   15.952282, -116.110583,           45
  50,    1,   16.007781, -115.739522,           45
  51,    1,   16.062312, -115.368147,           45
  52,    1,   16.115872, -114.996464,           46
  53,    1,   16.168460, -114.624478,           46
  54,    1,   16.220074, -114.252194,           46
  55,    1,   16.270712, -113.879618,           46
  56,    1,   16.320373, -113.506754,           47
  57,    1,   16.369056, -113.133609,           47
  58,    1,   16.416758, -112.760187,           47
  59,    1,   16.463479, -112.386494,           47
  60,    1,   16.509216, -112.012534,           47
  61,    1,   16.553969, -111.638315,           46
  62,    1,   16.597736, -111.263840,           45
  63,    1,   16.640516, -110.889116,           45
  64,    1,   16.682307, -110.514148,           45
  65,    1,   16.723109, -110.138941,           45
  66,    1,   16.762919, -109.763502,           46
  67,    1,   16.801737, -109.387834,           46
  68,    1,   16.839562, -109.011945,           47
  69,    1,   16.876391, -108.635840,           46
  70,    1,   16.912225, -108.259524,           47
  71,    1,   16.947062, -107.883002,           47
  72,    1,   16.980901, -107.506282,           46
  73,    1,   17.013741, -107.129367,           46
  74,    1,   17.045581, -106.752265,           46
  75,    1,   17.076420, -106.374980,           46
  76,    1,   17.106257, -105.997518,           46
  77,    1,   17.135091, -105.619886,           46
  78,    1,   17.162921, -105.242088,           46
  79,    1,   17.189747, -104.864131,           46
  80,    1,   17.215567, -104.486020,           45
  81,    1,   17.240381, -104.107761,           45
  82,    1,   17.264189, -103.729360,           45
  83,    1,   17.286988, -103.350823,           45
  84,    1,   17.308779, -102.972156,           45
  85,    1,   17.329561, -102.593364,           45
  86,    1,   17.349333, -102.214453,           45
  87,    1,   17.368095, -101.835429,           45
  88,    1,   17.385847, -101.456299,           45
  89,    1,   17.402586, -101.077067,           46
  90,    1,   17.418314, -100.697740,           47
  91,    1,   17.433030, -100.318324,           47
  92,    1,   17.446732,  -99.938824,           46
  93,    1,   17.459422,  -99.559247,           46
  94,    1,   17.471097,  -99.179599,           48
  95,    1,   17.481759,  -98.799885,           47
  96,    1,   17.491407,  -98.420111,           46
  97,    1,   17.500039,  -98.040284,           47
  98,    1,   17.507657,  -97.660409,           50
  99,    1,   17.514260,  -97.280492,           49
 100,    1,   17.519848,  -96.900539,           47
 101,    1,   17.524420,  -96.520556,           47
 102,    1,   17.527976,  -96.140550,           45
 103,    1,   17.530517,  -95.760525,           44
 104,    1,   17.532042,  -95.380489,           46
 105,    1,   17.532551,  -95.000447,           46
 106,    1,   17.532044,  -94.620404,           46
 107,    1,   17.530522,  -94.240368,           46
 108,    1,   17.527983,  -93.860343,           47
 109,    1,   17.524429,  -93.480337,           47
 110,    1,   17.519860,  -93.100354,           48
 111,    1,   17.514275,  -92.720401,           47
 112,    1,   17.507674,  -92.340484,           46
 113,    1,   17.500058,  -91.960609,           46
 114,    1,   17.491428,  -91.580782,           46
 115,    1,   17.481783,  -91.201008,           46
 116,    1,   17.471124,  -90.821294,           46
 117,    1,   17.459450,  -90.441645,           46
 118,    1,   17.446763,  -90.062068,           47
 119,    1,   17.433063,  -89.682568,           46
 120,    1,   17.418350,  -89.303152,           47
 121,    1,   17.402624,  -88.923825,           48
 122,    1,   17.385887,  -88.544593,           49
 123,    1,   17.368138,  -88.165462,           47
 124,    1,   17.349379,  -87.786438,           46
 125,    1,   17.329609,  -87.407527,           47
 126,    1,   17.308829,  -87.028735,           47
 127,    1,   17.287040,  -86.650067,           47
