   X,    Y,    Latitude,   Longitude, 4LFTX_200612191500
   1,    1,   12.190000, -133.459000,           -1
   2,    1,   12.289392, -133.108465,           -1
   3,    1,   12.387933, -132.757405,           -1
   4,    1,   12.485621, -132.405825,           -1
   5,    1,   12.582452, -132.053728,           -1
   6,    1,   12.678424, -131.701118,           -1
   7,    1,   12.773532, -131.347998,            0
   8,    1,   12.867775, -130.994371,            0
   9,    1,   12.961149, -130.640243,            0
  10,    1,   13.053651, -130.285616,            0
  11,    1,   13.145277, -129.930494,           -1
  12,    1,   13.236026, -129.574881,           -1
  13,    1,   13.325894, -129.218781,           -1
  14,    1,   13.414878, -128.862198,            0
  15,    1,   13.502975, -128.505136,            1
  16,    1,   13.590183, -128.147599,            1
  17,    1,   13.676498, -127.789590,            1
  18,    1,   13.761918, -127.431115,            1
  19,    1,   13.846441, -127.072176,            1
  20,    1,   13.930063, -126.712779,            1
  21,    1,   14.012781, -126.352927,            1
  22,    1,   14.094594, -125.992625,            2
  23,    1,   14.175498, -125.631877,            2
  24,    1,   14.255491, -125.270687,            2
  25,    1,   14.334570, -124.909059,            2
  26,    1,   14.412733, -124.546998,            1
  27,    1,   14.489977, -124.184509,            1
  28,    1,   14.566300, -123.821595,            1
  29,    1,   14.641700, -123.458261,            3
  30,    1,   14.716174, -123.094512,            3
  31,    1,   14.789719, -122.730352,            3
  32,    1,   14.862333, -122.365786,            3
  33,    1,   14.934015, -122.000818,            4
  34,    1,   15.004761, -121.635453,            4
  35,    1,   15.074570, -121.269695,            4
  36,    1,   15.143440, -120.903550,            4
  37,    1,   15.211367, -120.537022,            3
  38,    1,   15.278350, -120.170116,            2
  39,    1,   15.344387, -119.802836,            1
  40,    1,   15.409476, -119.435188,            1
  41,    1,   15.473615, -119.067177,            0
  42,    1,   15.536802, -118.698806,           -1
  43,    1,   15.599034, -118.330082,           -1
  44,    1,   15.660310, -117.961008,           -1
  45,    1,   15.720628, -117.591591,            0
  46,    1,   15.779986, -117.221835,            0
  47,    1,   15.838382, -116.851744,            0
  48,    1,   15.895815, -116.481326,            0
  49,    1,   15.952282, -116.110583,            0
  50,    1,   16.007781, -115.739522,            0
  51,    1,   16.062312, -115.368147,            0
  52,    1,   16.115872, -114.996464,            1
  53,    1,   16.168460, -114.624478,            1
  54,    1,   16.220074, -114.252194,            1
  55,    1,   16.270712, -113.879618,            0
  56,    1,   16.320373, -113.506754,            0
  57,    1,   16.369056, -113.133609,            0
  58,    1,   16.416758, -112.760187,            0
  59,    1,   16.463479, -112.386494,            0
  60,    1,   16.509216, -112.012534,            0
  61,    1,   16.553969, -111.638315,            0
  62,    1,   16.597736, -111.263840,            0
  63,    1,   16.640516, -110.889116,            0
  64,    1,   16.682307, -110.514148,            0
  65,    1,   16.723109, -110.138941,            0
  66,    1,   16.762919, -109.763502,            0
  67,    1,   16.801737, -109.387834,           -1
  68,    1,   16.839562, -109.011945,           -1
  69,    1,   16.876391, -108.635840,           -1
  70,    1,   16.912225, -108.259524,            0
  71,    1,   16.947062, -107.883002,           -1
  72,    1,   16.980901, -107.506282,            0
  73,    1,   17.013741, -107.129367,            0
  74,    1,   17.045581, -106.752265,            0
  75,    1,   17.076420, -106.374980,           -1
  76,    1,   17.106257, -105.997518,           -2
  77,    1,   17.135091, -105.619886,           -3
  78,    1,   17.162921, -105.242088,           -3
  79,    1,   17.189747, -104.864131,           -3
  80,    1,   17.215567, -104.486020,           -4
  81,    1,   17.240381, -104.107761,           -4
  82,    1,   17.264189, -103.729360,           -3
  83,    1,   17.286988, -103.350823,           -2
  84,    1,   17.308779, -102.972156,           -2
  85,    1,   17.329561, -102.593364,           -2
  86,    1,   17.349333, -102.214453,           -2
  87,    1,   17.368095, -101.835429,            0
  88,    1,   17.385847, -101.456299,            3
  89,    1,   17.402586, -101.077067,            3
  90,    1,   17.418314, -100.697740,            2
  91,    1,   17.433030, -100.318324,            2
  92,    1,   17.446732,  -99.938824,            3
  93,    1,   17.459422,  -99.559247,            5
  94,    1,   17.471097,  -99.179599,            6
  95,    1,   17.481759,  -98.799885,            6
  96,    1,   17.491407,  -98.420111,            5
  97,    1,   17.500039,  -98.040284,            8
  98,    1,   17.507657,  -97.660409,            8
  99,    1,   17.514260,  -97.280492,            7
 100,    1,   17.519848,  -96.900539,            6
 101,    1,   17.524420,  -96.520556,            5
 102,    1,   17.527976,  -96.140550,            4
 103,    1,   17.530517,  -95.760525,            3
 104,    1,   17.532042,  -95.380489,            2
 105,    1,   17.532551,  -95.000447,            1
 106,    1,   17.532044,  -94.620404,            0
 107,    1,   17.530522,  -94.240368,            0
 108,    1,   17.527983,  -93.860343,            0
 109,    1,   17.524429,  -93.480337,            0
 110,    1,   17.519860,  -93.100354,            0
 111,    1,   17.514275,  -92.720401,            0
 112,    1,   17.507674,  -92.340484,            1
 113,    1,   17.500058,  -91.960609,            1
 114,    1,   17.491428,  -91.580782,            0
 115,    1,   17.481783,  -91.201008,            0
 116,    1,   17.471124,  -90.821294,            1
 117,    1,   17.459450,  -90.441645,            1
 118,    1,   17.446763,  -90.062068,            1
 119,    1,   17.433063,  -89.682568,            1
 120,    1,   17.418350,  -89.303152,            1
 121,    1,   17.402624,  -88.923825,            0
 122,    1,   17.385887,  -88.544593,           -1
 123,    1,   17.368138,  -88.165462,           -2
 124,    1,   17.349379,  -87.786438,           -1
 125,    1,   17.329609,  -87.407527,           -1
 126,    1,   17.308829,  -87.028735,           -1
 127,    1,   17.287040,  -86.650067,           -1
 128,    1,   17.264243,  -86.271530,           -1
 129,    1,   17.240439,  -85.893128,            0
 130,    1,   17.215627,  -85.514869,            0
 131,    1,   17.189809,  -85.136758,            0
 132,    1,   17.162986,  -84.758800,            0
 133,    1,   17.135158,  -84.381002,            0
 134,    1,   17.106326,  -84.003369,            0
 135,    1,   17.076491,  -83.625907,            0
 136,    1,   17.045655,  -83.248622,            0
 137,    1,   17.013817,  -82.871519,           -1
 138,    1,   16.980980,  -82.494604,           -1
 139,    1,   16.947143,  -82.117883,           -2
 140,    1,   16.912308,  -81.741361,           -2
 141,    1,   16.876477,  -81.365045,           -2
 142,    1,   16.839649,  -80.988939,           -3
 143,    1,   16.801827,  -80.613049,           -4
 144,    1,   16.763012,  -80.237381,           -4
 145,    1,   16.723204,  -79.861941,           -4
 146,    1,   16.682405,  -79.486734,           -4
 147,    1,   16.640616,  -79.111765,           -5
 148,    1,   16.597838,  -78.737040,           -5
 149,    1,   16.554073,  -78.362565,           -5
 150,    1,   16.509323,  -77.988345,           -5
 151,    1,   16.463587,  -77.614385,           -5
 152,    1,   16.416869,  -77.240691,           -5
 153,    1,   16.369169,  -76.867269,           -6
 154,    1,   16.320489,  -76.494122,           -5
 155,    1,   16.270830,  -76.121258,           -4
 156,    1,   16.220194,  -75.748681,           -4
 157,    1,   16.168583,  -75.376397,           -4
 158,    1,   16.115997,  -75.004410,           -3
 159,    1,   16.062439,  -74.632726,           -3
 160,    1,   16.007911,  -74.261351,           -3
 161,    1,   15.952413,  -73.890289,           -4
 162,    1,   15.895949,  -73.519546,           -4
 163,    1,   15.838518,  -73.149126,           -3
 164,    1,   15.780125,  -72.779035,           -3
 165,    1,   15.720769,  -72.409278,           -3
 166,    1,   15.660453,  -72.039860,           -3
 167,    1,   15.599179,  -71.670786,           -2
 168,    1,   15.536949,  -71.302060,           -1
 169,    1,   15.473765,  -70.933689,           -1
 170,    1,   15.409628,  -70.565676,           -2
 171,    1,   15.344542,  -70.198027,           -2
 172,    1,   15.278507,  -69.830747,           -3
 173,    1,   15.211525,  -69.463840,           -3
 174,    1,   15.143600,  -69.097311,           -2
 175,    1,   15.074733,  -68.731165,           -2
