   X,    Y,    Latitude,   Longitude, 4LFTX_200612200600
   1,    1,   12.190000, -133.459000,           -2
   2,    1,   12.289392, -133.108465,           -2
   3,    1,   12.387933, -132.757405,           -2
   4,    1,   12.485621, -132.405825,           -2
   5,    1,   12.582452, -132.053728,           -2
   6,    1,   12.678424, -131.701118,           -3
   7,    1,   12.773532, -131.347998,           -1
   8,    1,   12.867775, -130.994371,           -1
   9,    1,   12.961149, -130.640243,            0
  10,    1,   13.053651, -130.285616,            0
  11,    1,   13.145277, -129.930494,            0
  12,    1,   13.236026, -129.574881,            0
  13,    1,   13.325894, -129.218781,            1
  14,    1,   13.414878, -128.862198,            1
  15,    1,   13.502975, -128.505136,            1
  16,    1,   13.590183, -128.147599,            1
  17,    1,   13.676498, -127.789590,            1
  18,    1,   13.761918, -127.431115,            1
  19,    1,   13.846441, -127.072176,            2
  20,    1,   13.930063, -126.712779,            2
  21,    1,   14.012781, -126.352927,            2
  22,    1,   14.094594, -125.992625,            2
  23,    1,   14.175498, -125.631877,            2
  24,    1,   14.255491, -125.270687,            1
  25,    1,   14.334570, -124.909059,            1
  26,    1,   14.412733, -124.546998,            0
  27,    1,   14.489977, -124.184509,            0
  28,    1,   14.566300, -123.821595,            1
  29,    1,   14.641700, -123.458261,            0
  30,    1,   14.716174, -123.094512,            0
  31,    1,   14.789719, -122.730352,            0
  32,    1,   14.862333, -122.365786,            0
  33,    1,   14.934015, -122.000818,            0
  34,    1,   15.004761, -121.635453,            0
  35,    1,   15.074570, -121.269695,           -1
  36,    1,   15.143440, -120.903550,           -1
  37,    1,   15.211367, -120.537022,            0
  38,    1,   15.278350, -120.170116,            0
  39,    1,   15.344387, -119.802836,            0
  40,    1,   15.409476, -119.435188,            0
  41,    1,   15.473615, -119.067177,            0
  42,    1,   15.536802, -118.698806,            0
  43,    1,   15.599034, -118.330082,           -1
  44,    1,   15.660310, -117.961008,           -1
  45,    1,   15.720628, -117.591591,           -1
  46,    1,   15.779986, -117.221835,           -1
  47,    1,   15.838382, -116.851744,           -1
  48,    1,   15.895815, -116.481326,           -1
  49,    1,   15.952282, -116.110583,           -2
  50,    1,   16.007781, -115.739522,           -2
  51,    1,   16.062312, -115.368147,           -2
  52,    1,   16.115872, -114.996464,           -2
  53,    1,   16.168460, -114.624478,           -2
  54,    1,   16.220074, -114.252194,           -2
  55,    1,   16.270712, -113.879618,           -2
  56,    1,   16.320373, -113.506754,           -2
  57,    1,   16.369056, -113.133609,           -2
  58,    1,   16.416758, -112.760187,           -1
  59,    1,   16.463479, -112.386494,           -1
  60,    1,   16.509216, -112.012534,           -1
  61,    1,   16.553969, -111.638315,           -1
  62,    1,   16.597736, -111.263840,           -2
  63,    1,   16.640516, -110.889116,           -2
  64,    1,   16.682307, -110.514148,           -2
  65,    1,   16.723109, -110.138941,           -2
  66,    1,   16.762919, -109.763502,           -2
  67,    1,   16.801737, -109.387834,           -2
  68,    1,   16.839562, -109.011945,           -2
  69,    1,   16.876391, -108.635840,           -1
  70,    1,   16.912225, -108.259524,           -1
  71,    1,   16.947062, -107.883002,           -1
  72,    1,   16.980901, -107.506282,           -1
  73,    1,   17.013741, -107.129367,            0
  74,    1,   17.045581, -106.752265,            0
  75,    1,   17.076420, -106.374980,            1
  76,    1,   17.106257, -105.997518,            0
  77,    1,   17.135091, -105.619886,           -2
  78,    1,   17.162921, -105.242088,           -2
  79,    1,   17.189747, -104.864131,           -1
  80,    1,   17.215567, -104.486020,           -1
  81,    1,   17.240381, -104.107761,           -1
  82,    1,   17.264189, -103.729360,           -1
  83,    1,   17.286988, -103.350823,           -2
  84,    1,   17.308779, -102.972156,           -1
  85,    1,   17.329561, -102.593364,           -1
  86,    1,   17.349333, -102.214453,           -1
  87,    1,   17.368095, -101.835429,           -2
  88,    1,   17.385847, -101.456299,           -1
  89,    1,   17.402586, -101.077067,            1
  90,    1,   17.418314, -100.697740,           -1
  91,    1,   17.433030, -100.318324,            2
  92,    1,   17.446732,  -99.938824,            3
  93,    1,   17.459422,  -99.559247,            5
  94,    1,   17.471097,  -99.179599,            4
  95,    1,   17.481759,  -98.799885,            4
  96,    1,   17.491407,  -98.420111,            4
  97,    1,   17.500039,  -98.040284,            5
  98,    1,   17.507657,  -97.660409,            5
  99,    1,   17.514260,  -97.280492,            4
 100,    1,   17.519848,  -96.900539,            4
 101,    1,   17.524420,  -96.520556,            4
 102,    1,   17.527976,  -96.140550,            4
 103,    1,   17.530517,  -95.760525,            4
 104,    1,   17.532042,  -95.380489,            3
 105,    1,   17.532551,  -95.000447,            3
 106,    1,   17.532044,  -94.620404,            1
 107,    1,   17.530522,  -94.240368,            1
 108,    1,   17.527983,  -93.860343,            1
 109,    1,   17.524429,  -93.480337,            1
 110,    1,   17.519860,  -93.100354,            1
 111,    1,   17.514275,  -92.720401,            1
 112,    1,   17.507674,  -92.340484,            0
 113,    1,   17.500058,  -91.960609,           -1
 114,    1,   17.491428,  -91.580782,           -1
 115,    1,   17.481783,  -91.201008,            0
