   X,    Y,    Latitude,   Longitude, CIN_200612191500
   1,    1,   12.190000, -133.459000,          -24
   2,    1,   12.289392, -133.108465,          -16
   3,    1,   12.387933, -132.757405,          -10
   4,    1,   12.485621, -132.405825,           -6
   5,    1,   12.582452, -132.053728,            0
   6,    1,   12.678424, -131.701118,            0
   7,    1,   12.773532, -131.347998,            0
   8,    1,   12.867775, -130.994371,            0
   9,    1,   12.961149, -130.640243,            0
  10,    1,   13.053651, -130.285616,            0
  11,    1,   13.145277, -129.930494,            0
  12,    1,   13.236026, -129.574881,           -4
  13,    1,   13.325894, -129.218781,           -2
  14,    1,   13.414878, -128.862198,           -6
  15,    1,   13.502975, -128.505136,          -16
  16,    1,   13.590183, -128.147599,          -22
  17,    1,   13.676498, -127.789590,          -18
  18,    1,   13.761918, -127.431115,          -18
  19,    1,   13.846441, -127.072176,          -14
  20,    1,   13.930063, -126.712779,          -14
  21,    1,   14.012781, -126.352927,          -22
  22,    1,   14.094594, -125.992625,          -44
  23,    1,   14.175498, -125.631877,          -68
  24,    1,   14.255491, -125.270687,          -94
  25,    1,   14.334570, -124.909059,          -88
  26,    1,   14.412733, -124.546998,          -58
  27,    1,   14.489977, -124.184509,         -112
  28,    1,   14.566300, -123.821595,          -58
  29,    1,   14.641700, -123.458261,            0
  30,    1,   14.716174, -123.094512,         -100
  31,    1,   14.789719, -122.730352,            0
  32,    1,   14.862333, -122.365786,           -2
  33,    1,   14.934015, -122.000818,          -12
  34,    1,   15.004761, -121.635453,          -22
  35,    1,   15.074570, -121.269695,          -76
  36,    1,   15.143440, -120.903550,           -6
  37,    1,   15.211367, -120.537022,          -56
  38,    1,   15.278350, -120.170116,         -168
  39,    1,   15.344387, -119.802836,         -132
  40,    1,   15.409476, -119.435188,          -58
  41,    1,   15.473615, -119.067177,          -24
  42,    1,   15.536802, -118.698806,          -10
  43,    1,   15.599034, -118.330082,           -4
  44,    1,   15.660310, -117.961008,          -10
  45,    1,   15.720628, -117.591591,          -42
  46,    1,   15.779986, -117.221835,          -54
  47,    1,   15.838382, -116.851744,          -68
  48,    1,   15.895815, -116.481326,          -64
  49,    1,   15.952282, -116.110583,          -56
  50,    1,   16.007781, -115.739522,          -62
  51,    1,   16.062312, -115.368147,          -68
  52,    1,   16.115872, -114.996464,          -74
  53,    1,   16.168460, -114.624478,          -90
  54,    1,   16.220074, -114.252194,          -12
  55,    1,   16.270712, -113.879618,          -36
  56,    1,   16.320373, -113.506754,           -2
  57,    1,   16.369056, -113.133609,            0
  58,    1,   16.416758, -112.760187,           -6
  59,    1,   16.463479, -112.386494,          -56
  60,    1,   16.509216, -112.012534,         -100
  61,    1,   16.553969, -111.638315,           -8
  62,    1,   16.597736, -111.263840,          -16
  63,    1,   16.640516, -110.889116,         -126
  64,    1,   16.682307, -110.514148,         -126
  65,    1,   16.723109, -110.138941,          -34
  66,    1,   16.762919, -109.763502,          -34
  67,    1,   16.801737, -109.387834,          -12
  68,    1,   16.839562, -109.011945,           -4
  69,    1,   16.876391, -108.635840,          -14
  70,    1,   16.912225, -108.259524,          -38
  71,    1,   16.947062, -107.883002,          -16
  72,    1,   16.980901, -107.506282,          -70
  73,    1,   17.013741, -107.129367,          -80
  74,    1,   17.045581, -106.752265,          -52
  75,    1,   17.076420, -106.374980,          -42
  76,    1,   17.106257, -105.997518,          -32
  77,    1,   17.135091, -105.619886,          -24
  78,    1,   17.162921, -105.242088,          -30
  79,    1,   17.189747, -104.864131,          -38
  80,    1,   17.215567, -104.486020,          -30
  81,    1,   17.240381, -104.107761,          -28
  82,    1,   17.264189, -103.729360,          -26
  83,    1,   17.286988, -103.350823,          -28
  84,    1,   17.308779, -102.972156,          -30
  85,    1,   17.329561, -102.593364,          -32
  86,    1,   17.349333, -102.214453,          -38
  87,    1,   17.368095, -101.835429,          -46
  88,    1,   17.385847, -101.456299,         -106
  89,    1,   17.402586, -101.077067,          -96
  90,    1,   17.418314, -100.697740,          -96
  91,    1,   17.433030, -100.318324,          -30
  92,    1,   17.446732,  -99.938824,          -66
  93,    1,   17.459422,  -99.559247,          -18
  94,    1,   17.471097,  -99.179599,            0
  95,    1,   17.481759,  -98.799885,          -32
  96,    1,   17.491407,  -98.420111,            0
  97,    1,   17.500039,  -98.040284,            0
  98,    1,   17.507657,  -97.660409,            0
  99,    1,   17.514260,  -97.280492,            0
